"UNITID","ARANK","SAOUTLT","non_inst_acad_staff_salary_research_outlay","non_inst_acad_staff_salary_pubservice_outlay","non_inst_acad_staff_salary_other_outlay","admin_profstaff_salary_mgmt_outlay","admin_profstaff_salary_business_outlay","admin_profstaff_salary_compeng_outlay","admin_profstaff_salary_community_outlay","admin_profstaff_salary_technical_outlay","nonadmin_servicestaffsalary_outlay","nonadmin_servicestaffsalary_salaryoutlay","admin_profstaff_salary_ofcadmin_outlay","nonadmin_servicestaffsalary_construction_outlay","nonadmin_servicestaffsalary_production_outlay","HRTOTLT","admin_profstaff_management","admin_profstaff_business","admin_profstaff_comp","admin_profstaff_comunityservice","admin_profstaff_healthcare","admin_profstaff_ofcadmin","non_instn_acad_staff_research","non_instn_acad_staff_pub_service","non_instn_acad_staff_library","instruction_staff","non_admin_service_staff_service","non_admin_service_staff_sales","non_admin_service_staff_resource","non_admin_service_staff_prod","instructors_per_thousand_student","admin_professional_staff","admin_professionalstaff_perthousandstudent","noninstruction_academicstaff","noninstruction_academicstaff_perthousandstudent","nonadmin_trade_servicestaff","nonadmin_tradeservicestaff_perthousandstudent","all_instructors_staff","instructor_salarypermillion","adminprofessionalstaff_salarypermillion","noninstruction_academicstaff_salarypermillion","nonadmin_tradeservicestaff_salarypermillion"
"206695","7","30954396","0","0","986429","10456659","3268302","4130303","8716682","112017","1998297","238613","7746257","1205984","570939","1941","115","63","63","187","2","162","0","0","21","421","43","4","29","12","26","592","36","21","1","88","5","1122","334150","84834","10648","43329"
"206817","7","1725720","0","0","572329","799496","243999","75000","707517","45000","191180","92500","508589","146309","30000","229","13","9","2","23","1","17","0","0","17","34","7","4","5","1","28","65","53","17","14","17","14","133","293980","94313","97498","78360"
"206835","7","1544880","0","0","83544","985104","293808","257520","571500","0","257592","400680","677580","0","0","201","11","8","6","16","0","19","0","0","2","32","7","12","0","0","20","60","37","2","1","19","12","113","221139","96997","11959","94227"
"206862","7","4238022","0","0","772260","2197952","558390","505128","1358726","130848","910668","350170","1125144","305614","34382","726","41","16","12","36","3","47","0","0","17","77","41","11","10","1","26","155","53","17","6","63","22","312","277307","82190","50531","104747"
"206914","7","10068455","0","0","1518852","3457003","346481","996689","1366210","40560","1552611","64240","1627185","710531","103415","674","45","10","27","38","1","72","0","0","44","189","69","3","27","4","24","193","25","44","6","103","13","529","370242","61332","55852","89386"
"206923","7","2251985","0","0","528381","840896","312500","165606","1724633","0","507498","35671","1038516","57998","0","300","13","8","5","47","0","38","0","0","15","54","20","1","2","0","16","111","34","15","5","23","7","203","211055","97336","49520","56341"
"206941","7","33029137","0","0","4932860","10907753","3591664","2518400","3107482","268734","1592611","64272","5983454","1460996","252135","1905","160","82","47","69","6","211","0","0","120","489","49","3","41","10","24","575","28","120","6","103","5","1287","416132","78775","62149","42459"
"206996","7","2084486","0","0","156454","950170","138896","231794","771510","0","76111","0","571602","101817","37585","217","17","6","7","27","0","30","0","0","6","103","4","0","5","2","33","87","28","6","2","11","3","207","320632","87931","24065","33150"
"207041","7","8851646","0","0","1169781","1147568","331103","463261","406747","116506","1079557","426738","3162774","696023","23000","554","11","10","10","9","3","94","0","0","38","167","49","12","21","1","28","137","23","38","6","83","14","425","377271","139770","49858","94846"
"207050","7","2428908","0","0","46794","2079462","0","0","0","0","683819","0","1979583","288163","0","282","39","0","0","0","0","69","0","0","2","49","32","0","11","0","19","108","41","2","1","43","16","202","343154","279679","6611","137321"
"207069","7","1382740","0","0","47914","1857191","186918","180266","650180","0","121600","31500","560758","65750","43260","308","35","5","4","17","0","18","0","0","1","32","4","1","2","1","9","79","23","1","0","8","2","120","151348","61385","5244","28689"
"207157","7","536368","0","0","136744","284347","81510","38351","0","0","53064","0","79600","61884","0","71","4","3","1","0","0","3","0","0","4","22","2","0","2","0","83","11","42","4","15","4","15","41","292323","43387","74526","62647"
"207209","7","8562511","624305","1087471","110000","2507190","134250","315459","549033","30000","378114","0","2203001","51780","0","348","41","4","7","14","1","67","12","32","4","134","12","0","2","0","43","134","43","48","15","14","4","330","412648","107617","87796","20718"
"207236","7","1620646","0","0","739256","2183113","249831","141314","544843","0","253444","82619","275221","29020","0","363","38","7","3","14","0","10","0","0","22","36","10","3","1","0","10","72","21","22","6","14","4","144","190828","32414","87046","42988"
"207254","7","2342721","90000","0","166285","2252080","0","172000","0","0","115652","360000","584396","0","234280","168","23","0","4","0","0","25","1","0","5","43","4","11","0","8",,"52",,"6",,"23",,"124",,,,
"207263","7","19175784","0","2148807","3246576","2706816","2842201","1606184","642948","187284","2867964","0","2825724","948144","0","1349","27","72","42","16","4","125","0","47","87","328","124","0","35","0","31","286","27","134","13","159","15","907","408545","64196","114950","81303"
"207281","7","4626420","55000","0","667966","1413193","173560","391982","445629","0","666600","0","746187","187534","0","500","22","5","12","14","0","30","1","0","25","100","34","0","7","0","14","83","12","26","4","41","6","250","347965","56127","54376","64242"
"207290","7","3096902","0","0","814885","1492354","64453","266807","0","0","162257","42157","1183384","570597","0","283","25","1","8","0","0","45","0","0","24","69","7","2","26","0","21","79","24","24","7","35","10","207","370823","141703","97574","92800"
"207306","7","4826285","0","0","0","1276712","2246571","0","0","0","0","0","1196875","790905","0","374","15","58","0","0","0","50","0","0","0","90","0","0","38","0","33","123","45","0","0","38","14","251","393732","97648","0","64523"
"207324","7","6219268","0","0","2435655","2560705","380367","710385","414660","169285","443785","0","588253","414069","35000","478","32","13","15","14","3","20","0","0","73","107","14","0","14","1","40","97","36","73","27","29","11","306","339748","41387","133056","48775"
"207342","7","25602212","0","0","1076914","16870947","4835282","8100715","1853731","6628530","8411207","53122","9428169","5090254","997189","5616","548","250","419","91","546","1087","0","0","43","1153","593","2","116","41",,"2941",,"43",,"752",,"4889","57032","35771","2399","32416"
"207351","7","2115954","0","0","888911","897859","276262","423993","674856","54377","118081","35557","175416","177892","32136","172","10","6","6","15","2","6","0","0","22","46","3","1","5","1","29","45","28","22","14","10","6","123","292967","31821","123075","50352"
"207388","7","89245592","8868023","10036800","1290805","15169217","20517826","20023011","19363476","5101898","23062272","836998","32934352","15079020","5307108","5981","118","394","480","340","88","991","124","121","32","1106","694","28","390","145","39","2411","84","277","10","1257","44","5051","298758","127334","67607","148250"
"207397","7","4818219","0","0","184722","1321041","1260917","2962170","0","0","74938","0","1143770","0","866450","763","19","42","82","0","0","47","0","0","7","87","4","0","0","34","8","190","17","7","1","38","3","322","281302","66785","10785","54961"
