UNITID,private_nonprofit_total_salary_wage,public_total_salary_wage,privateprofit_total_salary_wage
191649,185841746,NULL,NULL
191676,12077526,NULL,NULL
191764,592912,NULL,NULL
191931,43904000,NULL,NULL
191940,566669,NULL,NULL
191968,96821051,NULL,NULL
192040,18363518,NULL,NULL
192110,38818816,NULL,NULL
192165,565383,NULL,NULL
192192,16546927,NULL,NULL
192323,30872952,NULL,NULL
192439,92707198,NULL,NULL
192448,87890544,NULL,NULL
192457,0,NULL,NULL
192554,1817178,NULL,NULL
192563,2409315,NULL,NULL
192624,459891,NULL,NULL
192703,46473600,NULL,NULL
192712,18457018,NULL,NULL
192749,27197732,NULL,NULL
192785,4260307,NULL,NULL
192800,371293,NULL,NULL
192819,63314006,NULL,NULL
192864,20920575,NULL,NULL
192925,16221513,NULL,NULL
192961,837551,NULL,NULL
192970,312562,NULL,NULL
193016,52951205,NULL,NULL
193052,766894,NULL,NULL
193061,445630,NULL,NULL
193070,1988819,NULL,NULL
193247,983983,NULL,NULL
193292,44524679,NULL,NULL
193353,21318409,NULL,NULL
193399,16086171,NULL,NULL
193405,728633624,NULL,NULL
193584,32364054,NULL,NULL
193609,1044747,NULL,NULL
193645,31216723,NULL,NULL
193654,151139000,NULL,NULL
193751,13180456,NULL,NULL
193788,806685,NULL,NULL
193821,29447811,NULL,NULL
193830,83600998,NULL,NULL
193894,2290483,NULL,NULL
193900,1878259000,NULL,NULL
193973,31388059,NULL,NULL
194073,6972386,NULL,NULL
194091,92307070,NULL,NULL
194116,5658788,NULL,NULL
194161,20447955,NULL,NULL
