UNITID,carnegie_basic,carnegie_ug_program,carnegie_grad_program,carnegie_ug_profile,carnegie_enroll_profile,carnegie_size_setting,carnegie_classification2000
145309,-3,-3,-3,-3,-3,-3,40
145336,18,11,4,5,5,9,21
145354,-3,-3,-3,-3,-3,-3,-3
145372,22,13,9,10,3,11,32
145406,-3,-3,-3,-3,-3,-3,-3
145424,-3,-3,-3,-3,-3,-3,-3
145433,-3,-3,-3,-3,-3,-3,-3
145460,30,-2,-2,-2,2,-2,56
145497,24,-2,-2,-2,3,-2,51
145521,2,1,-1,2,1,2,40
145558,25,-2,-2,-2,7,-2,52
145600,15,11,14,11,5,15,15
145619,17,13,18,8,5,13,21
145628,26,-2,-2,-2,7,-2,53
145637,15,11,14,12,5,16,15
145646,21,6,-1,12,2,11,31
145682,3,1,-1,2,1,4,40
145691,21,6,-1,10,2,8,32
145707,2,1,-1,2,1,2,40
145725,16,14,17,13,6,13,16
145770,17,5,18,5,6,9,59
145813,17,14,18,13,3,16,16
145831,3,1,-1,2,1,3,40
145886,26,-2,-2,-2,6,-2,53
146010,30,-2,-2,-2,2,-2,56
146205,3,1,-1,1,1,3,40
146241,31,-2,-2,-2,7,-2,57
146278,2,1,-1,2,1,2,40
146296,4,1,-1,2,1,4,40
146339,22,16,10,11,3,8,32
146348,3,1,-1,2,1,3,40
146366,3,1,-1,2,1,3,40
146393,22,15,-1,6,2,9,33
146418,4,1,-1,2,1,3,40
146427,21,3,-1,12,2,11,31
146454,-3,-3,-3,-3,-3,-3,-3
146472,5,1,-1,1,1,4,40
146481,21,3,3,12,3,11,31
146490,29,-2,-2,-2,7,-2,55
146506,3,1,-1,2,1,4,40
146533,26,-2,-2,-2,2,-2,53
146603,4,1,-1,1,1,3,40
146612,18,13,12,11,4,13,21
146621,29,-2,-2,-2,2,-2,40
146667,24,-2,-2,-2,5,-2,51
146676,23,2,-1,6,2,10,40
146685,3,1,-1,2,1,3,40
146700,10,1,-1,4,1,2,-3
146719,16,11,14,13,5,16,15
146728,24,-2,-2,-2,7,-2,51
146755,26,-2,-2,-2,2,-2,53
146791,-3,-3,-3,-3,-3,-3,-3
146807,-3,-3,-3,-3,-3,-3,-3
146816,9,1,-1,2,1,1,40
146825,22,12,-1,9,2,8,32
146977,24,-2,-2,-2,7,-2,51
147004,4,1,-1,2,1,3,40
147013,18,13,9,8,4,10,32
147031,24,-2,-2,-2,7,-2,51
147129,26,-2,-2,-2,2,-2,-3
147165,23,2,-1,5,2,6,40
147244,22,10,10,10,3,11,32
147341,21,9,-1,10,2,11,31
147369,24,-2,-2,-2,4,-2,-3
147378,4,1,-1,2,1,5,40
147396,9,1,-1,4,1,1,40
147411,4,1,-1,1,1,3,40
147439,-3,-3,-3,-3,-3,-3,-3
147536,17,13,18,7,6,12,16
147590,26,-2,-2,-2,6,-2,53
147642,-3,-3,-3,-3,-3,-3,-3
147660,19,10,7,11,3,11,21
147679,18,10,7,11,4,11,21
147697,24,-2,-2,-2,7,-2,-3
